,eps_model,bidder_type,seed,tvc,cpc_percent,cpc_avg
0,0.1,simple,0,0.9971871792978872,0.0,795.8747232750225
1,0.1,robust,0,2.143837673300115,0.0,268.3034748581817
2,0.1,risky_0.1,0,0.9993915766529143,0.0,795.3260773965727
3,0.1,risky_0.0,0,0.9983277070884318,0.0,791.7151805099661
4,0.1,risky_1.0,0,0.9852377589267597,0.0,804.8086902692016
5,0.1,simple,1,1.0022748620879454,0.0,789.3944590371184
6,0.1,robust,1,2.1404913252274276,0.0,264.60013560909493
7,0.1,risky_0.1,1,0.9979035665991803,0.0,795.5245834981685
8,0.1,risky_0.0,1,1.005903891451484,0.0,788.7946211690215
9,0.1,risky_1.0,1,0.9928120119732754,0.0,783.0837295496606
10,0.1,simple,2,1.010499964362574,0.0,783.1772828839277
11,0.1,robust,2,2.137308793975525,0.0,267.11861295501245
12,0.1,risky_0.1,2,1.0029295343831883,0.0,786.7587058364695
13,0.1,risky_0.0,2,1.0086705697460148,0.0,784.8602465433074
14,0.1,risky_1.0,2,0.9970473948236761,0.0,796.0482134670137
15,0.1,simple,3,1.0051345613741163,0.0,792.5033619365037
16,0.1,robust,3,2.141265980605313,0.0,267.6254943618347
17,0.1,risky_0.1,3,1.0036031009915816,0.0,787.2935825071575
18,0.1,risky_0.0,3,1.005680337047137,0.0,793.140085741783
19,0.1,risky_1.0,3,0.9907670696852832,0.0,802.9148762306248
20,0.1,simple,4,1.0066508605459008,0.0,782.0624739240116
21,0.1,robust,4,2.1358856571284086,0.0,264.183233007456
22,0.1,risky_0.1,4,1.0050195666827937,0.0,779.191950466392
23,0.1,risky_0.0,4,1.0037480025506935,0.0,782.2911834526813
24,0.1,risky_1.0,4,0.996939385724734,0.0,777.5115340896764
25,0.1,simple,5,0.9947135815691412,0.0,798.8813010056716
26,0.1,robust,5,2.1386910207924092,0.0,265.6169587029545
27,0.1,risky_0.1,5,0.9896733555673363,0.0,803.3380299097151
28,0.1,risky_0.0,5,0.9945722500352444,0.0,800.0056273188366
29,0.1,risky_1.0,5,0.985979586928494,0.0,808.510605396883
30,0.1,simple,6,1.0050350143608335,0.0,795.6974318032532
31,0.1,robust,6,2.1289242896128577,0.0,269.53384238431386
32,0.1,risky_0.1,6,1.0053547630659123,0.0,793.5826584256088
33,0.1,risky_0.0,6,1.0058359243622104,0.0,796.3071794920202
34,0.1,risky_1.0,6,0.979092821245223,0.0,808.322699066066
35,0.1,simple,7,1.0219158213977126,0.0,769.2365664092928
36,0.1,robust,7,2.1256283263715416,0.0,267.0543259982458
37,0.1,risky_0.1,7,1.0128745188654518,0.0,772.6883303012395
38,0.1,risky_0.0,7,1.019895344134148,0.0,770.2759399267273
39,0.1,risky_1.0,7,0.9918678513825431,0.0,788.1656934568978
40,0.1,simple,8,1.0118546978705896,0.0,782.1985621159401
41,0.1,robust,8,2.1370259704151446,0.0,265.71279083367176
42,0.1,risky_0.1,8,1.0062085822366253,0.0,790.5535300109755
43,0.1,risky_0.0,8,1.010410046043779,0.0,784.0316216828231
44,0.1,risky_1.0,8,0.981402210729856,0.0,806.4586909206333
45,0.1,simple,9,1.001427215177198,0.0,786.9675444566439
46,0.1,robust,9,2.134642945494346,0.0,264.49757560442026
47,0.1,risky_0.1,9,0.995697680506495,0.0,781.6936660612155
48,0.1,risky_0.0,9,1.0009999018691045,0.0,787.2033549089294
49,0.1,risky_1.0,9,0.9946642973116491,0.0,790.3397073133603
50,0.05,simple,0,1.0254003340134792,0.0,744.5015109210392
51,0.05,robust,0,2.1083435424540165,0.0,271.00000828445116
52,0.05,risky_0.1,0,1.0257846940432047,0.0,744.4627478612376
53,0.05,risky_0.0,0,1.0316511311493652,0.0,742.8877302496776
54,0.05,risky_1.0,0,1.0307887654915413,0.0,749.9033786933317
55,0.05,simple,1,1.0379506321819365,0.0,734.4733207401291
56,0.05,robust,1,2.1094142535322407,0.0,269.05822437897217
57,0.05,risky_0.1,1,1.029321928139091,0.0,736.087048394699
58,0.05,risky_0.0,1,1.0366578371169277,0.0,736.808790237546
59,0.05,risky_1.0,1,1.0376708534585273,0.0,736.6107261350438
60,0.05,simple,2,1.0371526262337463,0.0,745.9429613201933
61,0.05,robust,2,2.1106530793695275,0.0,269.64735626214326
62,0.05,risky_0.1,2,1.0402800922860005,0.0,744.677417229645
