,eps_model,bidder_type,mean_tvc,std_tvc,mean_cpc_percent,std_cpc_percent,mean_cpc_avg,std_cpc_avg
1,1e-12,risky_1.0,1.1556852178810062,0.0,0.0,0.0,601.4677864250077,3.251192330970362e-05
2,1e-12,risky_10.0,1.6296695633912848,0.0,0.0,0.0,467.5343760417445,4.2099626152682836e-05
3,1e-12,risky_50.0,1.7164190994172681,0.0,0.0,0.0,424.034372172247,3.754733978549153e-05
4,1e-12,robust,1.1650046795822964,0.0,0.0,0.0,599.2342970699208,1.5453399704858227e-05
5,1e-12,simple,1.1650046795822964,0.0,0.0,0.0,599.2316137203843,1.54327656654892e-05
7,0.0005,risky_1.0,1.153774789191958,0.0030775115161871575,0.0,0.0,614.8598716408516,2.106955986813636
8,0.0005,risky_10.0,1.6172100067976558,0.002986796921427099,0.0,0.0,476.0911894935937,5.635655475431
9,0.0005,risky_50.0,1.705849694375818,0.004148118594733415,0.0,0.0,432.4343506071557,1.7160678971747638
10,0.0005,robust,1.5755321480383182,0.0019438026550466652,0.0,0.0,387.1548220044146,0.8009773464255231
11,0.0005,simple,1.1582048612403089,0.0021598129132391693,0.0,0.0,608.8023562454663,2.3918248871547068
13,0.001,risky_1.0,1.1433697554468862,0.014450320014693928,0.0,0.0,619.2677372325462,5.386030496276477
14,0.001,risky_10.0,1.6055208443916709,0.0072133849211373224,0.0,0.0,484.06435208253544,8.402587700286725
15,0.001,risky_50.0,1.7038823719530585,0.003962491021806793,0.0,0.0,437.4420855791961,3.7646589064892844
16,0.001,robust,1.8730824010578606,0.005823394757930702,0.0,0.0,324.34147455528034,0.20525081731727865
17,0.001,simple,1.1519411361614982,0.0071526165404738875,0.0,0.0,613.0443267895525,0.9134450107251185
19,0.005,risky_1.0,1.1042914228028922,0.0030084995063749333,0.0,0.0,654.3243161598176,8.384991907037428
20,0.005,risky_10.0,1.5817789063678245,0.010385779943148573,0.0,0.0,500.2941111847313,6.609721729952991
21,0.005,risky_50.0,1.697452672523039,0.013869900493083806,0.0,0.0,446.6732507939461,4.04628681879576
22,0.005,robust,2.038777595930924,0.007047300123909652,0.0,0.0,294.46682317750356,0.41667636513471834
23,0.005,simple,1.1284647263921446,0.002855683427393115,0.0,0.0,635.4161884414847,5.492476877033753
25,0.01,risky_1.0,1.087479782788218,0.010268599243806097,0.0,0.0,670.1716658390845,11.13521581085968
26,0.01,risky_10.0,1.5736213819221927,0.008056089822643178,0.0,0.0,508.9886227655905,7.833361848120618
27,0.01,risky_50.0,1.6889334166493082,0.006257527245674383,0.0,0.0,455.9525703666921,3.1676878071160948
28,0.01,robust,2.0658230511700775,0.008175629291181876,0.0,0.0,287.9643210972202,0.4421974474781983
29,0.01,simple,1.1135670791405874,0.006759182541332891,0.0,0.0,653.5241714366101,0.9541994571578278
31,0.05,risky_1.0,1.027614539619836,0.011963534990445588,0.0,0.0,746.807531347769,9.054907784304243
32,0.05,risky_10.0,1.5256726804466194,0.02580584848897103,0.0,0.0,560.3411051265595,12.049839392014382
33,0.05,risky_50.0,1.6230690804355434,0.03307561305615744,0.0,0.0,509.4001118190722,11.369591726755507
34,0.05,robust,2.1050027855081845,0.001293175520530907,0.0,0.0,277.9190872531835,0.8698588151275215
35,0.05,simple,1.0335011974763872,0.007026890849219547,0.0,0.0,741.6392643271205,6.247599973770967
37,0.1,risky_1.0,0.991699055241237,0.005982965779609343,0.0,0.0,794.6468777619588,10.930063398036499
38,0.1,risky_10.0,1.4877882221745473,0.032712595320666726,0.0,0.0,600.5973546507372,17.210151249964284
39,0.1,risky_50.0,1.58480328938723,0.0402343836162829,0.0,0.0,545.216069806228,10.23035622215132
40,0.1,robust,2.127810542943539,0.003828728690378157,0.0,0.0,280.72209561523454,1.7598327601289427
41,0.1,simple,1.0033206685828022,0.00671772617506479,0.0,0.0,789.4821550653561,6.349174439750267
