,eps_model,bidder_type,seed,tvc,cpc_percent,cpc_avg
0,0.1,simple,0,0.9971871792978872,0.0,795.8747232750225
1,0.1,robust,0,2.143837673300115,0.0,268.3034748581817
2,0.1,risky_2.0,0,0.9594488032455534,0.0,810.7510864977943
3,0.1,risky_5.0,0,1.3327914167090003,0.0,674.9441921298828
4,0.1,risky_10.0,0,1.4997413745366956,0.0,614.4729474184592
5,0.1,simple,1,1.0022748620879454,0.0,789.3944590371184
6,0.1,robust,1,2.1404913252274276,0.0,264.60013560909493
7,0.1,risky_2.0,1,0.9810170580762718,0.0,801.8900859263812
8,0.1,risky_5.0,1,1.3039948302228968,0.0,666.5682428372859
9,0.1,risky_10.0,1,1.4507801216340552,0.0,605.9798768526477
10,0.1,simple,2,1.010499964362574,0.0,783.1772828839277
11,0.1,robust,2,2.137308793975525,0.0,267.11861295501245
12,0.1,risky_2.0,2,0.9796596040526777,0.0,812.0863159873252
13,0.1,risky_5.0,2,1.3719969780884542,0.0,646.6427295929662
14,0.1,risky_10.0,2,1.5128431703528915,0.0,581.3392396811049
15,0.05,simple,0,1.0254003340134792,0.0,744.5015109210392
16,0.05,robust,0,2.1083435424540165,0.0,271.00000828445116
17,0.05,risky_2.0,0,0.9940931353978878,0.0,771.100966175128
18,0.05,risky_5.0,0,1.370245819607086,0.0,638.9965745147571
19,0.05,risky_10.0,0,1.5435837618237884,0.0,564.0982193327382
20,0.05,simple,1,1.0379506321819365,0.0,734.4733207401291
21,0.05,robust,1,2.1094142535322407,0.0,269.05822437897217
22,0.05,risky_2.0,1,1.0034400930175014,0.0,751.5624848971845
23,0.05,risky_5.0,1,1.3519522409430509,0.0,636.7358455376601
24,0.05,risky_10.0,1,1.4960934473349732,0.0,570.0647762148409
25,0.05,simple,2,1.0371526262337463,0.0,745.9429613201933
26,0.05,robust,2,2.1106530793695275,0.0,269.64735626214326
27,0.05,risky_2.0,2,1.006143957121095,0.0,774.0869684332084
28,0.05,risky_5.0,2,1.4161902851055042,0.0,614.2604366069256
29,0.05,risky_10.0,2,1.5373408321810964,0.0,546.8603198320993
30,0.01,simple,0,1.1143131641775625,0.0,652.6548301337078
31,0.01,robust,0,2.07248955715642,0.0,287.3636944224712
32,0.01,risky_2.0,0,1.0631840166789894,0.0,698.1968039760151
33,0.01,risky_5.0,0,1.4378512934654006,0.0,574.417885889321
34,0.01,risky_10.0,0,1.5678235987494546,0.0,508.46208145038855
35,0.01,simple,1,1.1199222656955827,0.0,653.3725990681954
36,0.01,robust,1,2.069772350566642,0.0,286.6628850919542
37,0.01,risky_2.0,1,1.0641479981464455,0.0,694.1710836672922
38,0.01,risky_5.0,1,1.458862458291788,0.0,565.1151450612192
39,0.01,risky_10.0,1,1.5702202841480999,0.0,517.0719716533712
40,0.01,simple,2,1.106465807548617,0.0,654.5450851079271
41,0.01,robust,2,2.0576320023360664,0.0,286.463650883865
42,0.01,risky_2.0,2,1.0617679799371955,0.0,707.3150586443492
43,0.01,risky_5.0,2,1.471312173523325,0.0,562.3130195962292
44,0.01,risky_10.0,2,1.5828202628690236,0.0,501.43181519301174
45,0.005,simple,0,1.1257689549853818,0.0,639.1321444414946
46,0.005,robust,0,2.04330404984722,0.0,294.1378778728913
47,0.005,risky_2.0,0,1.0724365540114824,0.0,680.5503650558846
48,0.005,risky_5.0,0,1.4473607559544326,0.0,564.2266870301079
49,0.005,risky_10.0,0,1.5719503230301421,0.0,503.4079876656061
50,0.005,simple,1,1.1314571607355326,0.0,629.107249253237
51,0.005,robust,1,2.043049232113067,0.0,293.6737929642252
52,0.005,risky_2.0,1,1.064252041501349,0.0,678.710859461793
53,0.005,risky_5.0,1,1.4693588314469936,0.0,547.195726437472
54,0.005,risky_10.0,1,1.5807422622104126,0.0,504.7717608584605
55,0.005,simple,2,1.128168063455519,0.0,638.0091716297226
56,0.005,robust,2,2.0306405225895814,0.0,294.3557026599358
57,0.005,risky_2.0,2,1.076790087126791,0.0,686.1412317167183
58,0.005,risky_5.0,2,1.4864308928439829,0.0,552.1771997421753
59,0.005,risky_10.0,2,1.5926441338629187,0.0,492.7025850301275
60,0.001,simple,0,1.1579883427757534,0.0,612.9663328265846
61,0.001,robust,0,1.8797374052324225,0.0,324.4181956289949
62,0.001,risky_2.0,0,1.0910957270036836,0.0,668.1996170394378
